time,Ix(U40:VDD)
3.02E-05,"	-1.167160e-004"
3.02E-05,"	-1.167159e-004"
3.51E-05,"	-1.167158e-004"
3.51E-05,"	-1.167428e-004"
3.51E-05,"	-1.167682e-004"
3.51E-05,"	-1.167807e-004"
3.51E-05,"	-1.167824e-004"
3.51E-05,"	-1.167812e-004"
3.51E-05,"	-1.167798e-004"
3.51E-05,"	-1.167708e-004"
3.51E-05,"	-1.164512e-004"
3.52E-05,"	-1.159433e-004"
3.52E-05,"	-1.157350e-004"
3.52E-05,"	-1.157312e-004"
3.52E-05,"	-1.157308e-004"
3.52E-05,"	-1.157302e-004"
3.52E-05,"	-1.157292e-004"
3.52E-05,"	-1.157286e-004"
3.52E-05,"	-1.157277e-004"
3.52E-05,"	-1.157186e-004"
3.52E-05,"	-1.157140e-004"
3.52E-05,"	-1.157139e-004"
3.52E-05,"	-1.157139e-004"
4.00E-05,"	-1.157139e-004"
4.00E-05,"	-1.156866e-004"
4.00E-05,"	-1.156732e-004"
4.00E-05,"	-1.156742e-004"
4.00E-05,"	-1.156768e-004"
4.00E-05,"	-1.156830e-004"
4.00E-05,"	-1.156938e-004"
4.00E-05,"	-1.157079e-004"
4.00E-05,"	-1.163134e-004"
4.00E-05,"	-1.187191e-004"
4.01E-05,"	-1.220051e-004"
4.01E-05,"	-1.227886e-004"
4.01E-05,"	-1.225557e-004"
4.01E-05,"	-1.225383e-004"
4.01E-05,"	-1.225575e-004"
4.01E-05,"	-1.225614e-004"
4.01E-05,"	-1.225787e-004"
4.01E-05,"	-1.226085e-004"
4.01E-05,"	-1.226076e-004"
4.01E-05,"	-1.226244e-004"
4.01E-05,"	-1.226345e-004"
4.01E-05,"	-1.226373e-004"
4.01E-05,"	-1.226423e-004"
4.01E-05,"	-1.227548e-004"
4.01E-05,"	-1.228662e-004"
4.01E-05,"	-1.229308e-004"
4.01E-05,"	-1.229511e-004"
4.01E-05,"	-1.229519e-004"
4.01E-05,"	-1.229511e-004"
4.01E-05,"	-1.229527e-004"
4.01E-05,"	-1.222688e-004"
4.01E-05,"	-1.198581e-004"
4.02E-05,"	-1.165328e-004"
4.02E-05,"	-1.150709e-004"
4.02E-05,"	-1.148278e-004"
4.02E-05,"	-1.148200e-004"
4.02E-05,"	-1.148125e-004"
4.02E-05,"	-1.147991e-004"
4.02E-05,"	-1.147800e-004"
4.02E-05,"	-1.147595e-004"
4.02E-05,"	-1.147530e-004"
4.02E-05,"	-1.147422e-004"
4.02E-05,"	-1.147304e-004"
4.02E-05,"	-1.147206e-004"
4.02E-05,"	-1.147151e-004"
4.02E-05,"	-1.147142e-004"
4.02E-05,"	-1.147138e-004"
4.50E-05,"	-1.147138e-004"
4.51E-05,"	-1.147137e-004"
4.51E-05,"	-1.147410e-004"
4.51E-05,"	-1.147666e-004"
4.51E-05,"	-1.147791e-004"
4.51E-05,"	-1.147814e-004"
4.51E-05,"	-1.147814e-004"
4.51E-05,"	-1.147826e-004"
4.51E-05,"	-1.147670e-004"
4.51E-05,"	-1.144441e-004"
4.52E-05,"	-1.139391e-004"
4.52E-05,"	-1.137415e-004"
4.52E-05,"	-1.137381e-004"
4.52E-05,"	-1.137368e-004"
4.52E-05,"	-1.137343e-004"
4.52E-05,"	-1.137299e-004"
4.52E-05,"	-1.137260e-004"
4.52E-05,"	-1.137168e-004"
4.52E-05,"	-1.137121e-004"
4.52E-05,"	-1.137119e-004"
4.52E-05,"	-1.137118e-004"
5.00E-05,"	-1.137118e-004"
5.00E-05,"	-1.137027e-004"
5.00E-05,"	-1.136982e-004"
5.00E-05,"	-1.136984e-004"
5.00E-05,"	-1.136991e-004"
5.00E-05,"	-1.137008e-004"
5.00E-05,"	-1.137036e-004"
5.00E-05,"	-1.137072e-004"
5.00E-05,"	-1.138465e-004"
5.01E-05,"	-1.143007e-004"
5.01E-05,"	-1.146288e-004"
5.01E-05,"	-1.146298e-004"
5.01E-05,"	-1.145956e-004"
5.01E-05,"	-1.146203e-004"
5.01E-05,"	-1.146196e-004"
5.01E-05,"	-1.146251e-004"
5.01E-05,"	-1.146336e-004"
5.01E-05,"	-1.146387e-004"
5.01E-05,"	-1.146474e-004"
5.01E-05,"	-1.147069e-004"
5.01E-05,"	-1.147618e-004"
5.01E-05,"	-1.147863e-004"
5.01E-05,"	-1.147895e-004"
5.01E-05,"	-1.147894e-004"
5.01E-05,"	-1.147909e-004"
5.01E-05,"	-1.147892e-004"
5.01E-05,"	-1.142660e-004"
