time	Ix(U40:VDD)
3.515089783634351e-005	-6.410537e-004
3.516921848592553e-005	-6.410535e-004
3.517507827101508e-005	-6.410527e-004
3.518679784119420e-005	-6.410527e-004
3.520000000000000e-005	-6.410530e-004
3.520049697755975e-005	-6.410433e-004
3.520149093267923e-005	-6.410375e-004
3.520347884291820e-005	-6.410361e-004
3.534831230318597e-005	-6.410359e-004
3.549314576345373e-005	-6.410357e-004
3.563797922372150e-005	-6.410356e-004
3.578281268398927e-005	-6.410355e-004
3.592764614425703e-005	-6.410355e-004
3.607247960452480e-005	-6.410356e-004
3.621731306479256e-005	-6.410357e-004
3.990000000000000e-005	-6.410357e-004
4.000000000000000e-005	-6.410356e-004
4.000048471607542e-005	-6.410058e-004
4.000145414822625e-005	-6.409876e-004
4.000339301252792e-005	-6.409831e-004
4.000727074113125e-005	-6.409813e-004
4.001502619833792e-005	-6.409806e-004
4.002664299521845e-005	-6.409797e-004
4.003993664966088e-005	-6.409785e-004
4.005813866520149e-005	-6.413630e-004
4.006612532743627e-005	-6.434122e-004
4.007261026572324e-005	-6.485857e-004
4.007761368586374e-005	-6.555407e-004
4.008298117021867e-005	-6.651115e-004
4.008816880113826e-005	-6.751632e-004
4.009323656466903e-005	-6.848342e-004
4.010000000000001e-005	-6.970949e-004
4.010067634353311e-005	-6.955609e-004
4.010202903059930e-005	-6.934281e-004
4.010473440473169e-005	-6.909046e-004
4.010916044820646e-005	-6.875594e-004
4.011380942091307e-005	-6.840649e-004
4.012310736632627e-005	-6.777848e-004
4.013936692985326e-005	-6.696820e-004
4.014669685829413e-005	-6.680478e-004
4.015405232457791e-005	-6.678009e-004
4.015859321784859e-005	-6.677957e-004
4.016384206199790e-005	-6.678130e-004
4.017433975029653e-005	-6.678081e-004
4.017900462340275e-005	-6.678085e-004
4.018833436961519e-005	-6.678035e-004
4.020000000000000e-005	-6.677955e-004
4.020049101133051e-005	-6.677867e-004
4.020147303399153e-005	-6.677820e-004
4.504080154843357e-005	-6.677818e-004
4.510000000000001e-005	-6.677818e-004
4.510069518237887e-005	-6.671955e-004
4.510208554713660e-005	-6.661238e-004
4.510486627665205e-005	-6.642062e-004
4.511042773568296e-005	-6.607882e-004
4.511852913079677e-005	-6.569194e-004
4.512316458519859e-005	-6.558084e-004
4.512799432329600e-005	-6.555569e-004
4.513276223460581e-005	-6.555221e-004
4.513767048472008e-005	-6.555187e-004
4.514328762920405e-005	-6.555211e-004
4.515452191817199e-005	-6.555193e-004
4.517699049610789e-005	-6.555187e-004
4.518460713061795e-005	-6.555216e-004
4.518508593170374e-005	-6.555206e-004
4.518955474183783e-005	-6.555187e-004
4.519466195341965e-005	-6.555186e-004
4.520000000000000e-005	-6.555183e-004
4.520046413907823e-005	-6.555083e-004
4.520139241723468e-005	-6.555018e-004
4.520324897354760e-005	-6.555001e-004
5.000000000000000e-005	-6.554998e-004
5.000046667730882e-005	-6.554896e-004
5.000140003192646e-005	-6.554832e-004
5.000326674116174e-005	-6.554814e-004
5.000700015963230e-005	-6.554808e-004
5.001446699657342e-005	-6.554805e-004
5.002613853864900e-005	-6.554802e-004
5.003914569272020e-005	-6.554799e-004
5.005870947249550e-005	-6.554795e-004
5.006687106040195e-005	-6.554793e-004
5.007213143406419e-005	-6.554783e-004
5.007608022255437e-005	-6.555977e-004
5.007997409056803e-005	-6.562485e-004
5.008399658868418e-005	-6.577800e-004
5.008713383946877e-005	-6.595227e-004
5.009161179850010e-005	-6.623992e-004
5.009331494818840e-005	-6.635723e-004
5.009558581443947e-005	-6.651352e-004
5.010000000000001e-005	-6.681386e-004
5.010044141855606e-005	-6.675652e-004
5.010132425566817e-005	-6.666026e-004
5.010308992989238e-005	-6.651850e-004
5.010662127834081e-005	-6.628193e-004
5.011228919730875e-005	-6.593280e-004
5.012362503524463e-005	-6.536020e-004
5.012932204144557e-005	-6.519990e-004
5.013404377183735e-005	-6.516362e-004
