#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A17
#Date Time: 2019-04-23 17:39:09.384
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -1 V
#Channel 2: Range: 1 V/div Offset: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0025193699999999999,4.5147385568779699,2.7117514217243928
-0.0025187400000000002,4.5110557065635071,2.7154335520027262
-0.0025181100000000001,4.5073728562490434,2.7154335520027262
-0.0025174800000000003,4.5073728562490434,2.7154335520027262
-0.0025168500000000002,4.5110557065635071,2.7154335520027262
-0.00251622,4.5073728562490434,2.7227978125593957
-0.0025155900000000003,4.5073728562490434,2.7264799428377291
-0.0025149600000000001,4.5000071556201151,2.7227978125593957
-0.00251433,4.5000071556201187,2.7227978125593992
-0.0025137000000000002,4.5073728562490434,2.7301620731160656
-0.0025130700000000001,4.5073728562490434,2.7338442033944004
-0.0025124400000000003,4.5073728562490434,2.7412084639510668
-0.0025118100000000002,4.5110557065635071,2.7375263336727356
-0.00251118,4.5073728562490434,2.7412084639510703
-0.0025105500000000003,4.5036900059345815,2.7412084639510703
-0.0025099200000000001,4.5036900059345797,2.7448905942294051
-0.00250929,4.5110557065635071,2.7448905942294068
-0.0025086600000000002,4.5110557065635071,2.7485727245077403
-0.0025080300000000001,4.5110557065635071,2.7559369850644098
-0.0025074000000000003,4.5073728562490452,2.7559369850644098
-0.0025067700000000002,4.5110557065635071,2.759619115342745
-0.00250614,4.5110557065635071,2.759619115342745
-0.0025055100000000003,4.5110557065635071,2.7633012456210779
-0.0025048800000000001,4.5073728562490434,2.7633012456210797
-0.00250425,4.5073728562490434,2.7669833758994162
-0.0025036200000000002,4.5073728562490434,2.7706655061777496
-0.0025029900000000001,4.5073728562490434,2.7669833758994145
-0.0025023599999999999,4.5073728562490416,2.7706655061777496
-0.0025017300000000002,4.5036900059345797,2.7706655061777496
-0.0025011,4.5000071556201151,2.7780297667344191
-0.0025004700000000003,4.5036900059345779,2.7780297667344191
-0.0024998400000000001,4.5000071556201151,2.7817118970127543
-0.00249921,4.5036900059345815,2.7780297667344209
-0.0024985800000000002,4.5073728562490434,2.7817118970127543
-0.0024979500000000001,4.5073728562490434,2.7890761575694238
-0.0024973199999999999,4.5036900059345815,2.7927582878477573
-0.0024966900000000002,4.5073728562490434,2.7890761575694238
-0.00249606,4.5073728562490434,2.7890761575694238
-0.0024954300000000003,4.5036900059345815,2.7927582878477573
-0.0024948000000000001,4.5036900059345797,2.7964404181260938
-0.00249417,4.5073728562490434,2.8001225484044303
-0.0024935400000000003,4.5073728562490434,2.8038046786827637
-0.0024929100000000001,4.5073728562490434,2.8038046786827637
-0.0024922799999999999,4.5110557065635053,2.8074868089611007
-0.0024916500000000002,4.5073728562490434,2.8111689392394332
-0.00249102,4.5073728562490434,2.8111689392394332
-0.0024903900000000003,4.5036900059345815,2.8111689392394332
-0.0024897600000000002,4.5110557065635071,2.8111689392394332
-0.00248913,4.5110557065635071,2.8111689392394332
-0.0024885000000000003,4.5073728562490434,2.8111689392394332
-0.0024878700000000001,4.5073728562490434,2.8148510695177684
-0.0024872399999999999,4.5073728562490452,2.8185331997961054
-0.0024866100000000002,4.5110557065635071,2.8222153300744379
-0.00248598,4.5110557065635071,2.8222153300744379
